TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,FTARATE,PTSOFF TO,2NDPTS,FBPS,PITP,2PM,2PA,2P%,TEAM OPP,MATCH UP OPP,W/L OPP,MIN OPP,PTS OPP,FGM OPP,FGA OPP,FG% OPP,3PM OPP,3PA OPP,3P% OPP,FTM OPP,FTA OPP,FT% OPP,OREB OPP,DREB OPP,REB OPP,AST OPP,TOV OPP,STL OPP,BLK OPP,PF OPP,+/- OPP,OFFRTG OPP,DEFRTG OPP,NETRTG OPP,AST% OPP,AST/TO OPP,ASTRATIO OPP,OREB% OPP,DREB% OPP,REB% OPP,TOV% OPP,EFG% OPP,TS% OPP,PACE OPP,PIE OPP,FTARATE OPP,PTSOFF TO OPP,2NDPTS OPP,FBPS OPP,PITP OPP,2PM OPP,2PA OPP,2P% OPP
MEM,MEM vs. PHX,01/16/2023,W,48,136,52,98,53.1,16,37,43.2,16,20,80.0,13,38,51,29,11,8,6,19,30,134.7,103.9,30.7,55.8,2.64,19.9,32.7,76.5,55.0,10.9,61.2,63.7,101.5,61.1,0.204,24,17,14,66,36,61,59.0,PHX,PHX @ MEM,L,48,106,39,89,43.8,10,33,30.3,18,19,94.7,9,28,37,33,15,4,4,22,-30,103.9,134.7,-30.7,84.6,2.2,22.4,23.5,67.3,45.0,14.7,49.4,54.4,101.5,38.9,0.213,17,12,8,54,29,56,51.8
MIL,MIL vs. IND,01/16/2023,W,48,132,48,91,52.7,23,46,50.0,13,15,86.7,9,32,41,32,14,9,1,14,13,130.7,116.7,14.0,66.7,2.29,22.1,26.7,88.1,56.3,13.9,65.4,67.6,101.5,54.0,0.165,20,18,11,42,25,45,55.6,IND,IND @ MIL,L,48,119,43,84,51.2,19,40,47.5,14,15,93.3,4,33,37,29,16,6,5,17,-13,116.7,130.7,-14.0,67.4,1.81,21.3,11.9,73.3,43.7,15.7,62.5,65.7,101.5,46.0,0.179,16,0,19,40,24,44,54.5
CHA,CHA vs. BOS,01/16/2023,L,48,118,41,90,45.6,13,31,41.9,23,30,76.7,13,25,38,26,5,7,2,18,-12,125.5,136.8,-11.3,63.4,5.2,19.3,29.4,61.4,44.2,5.3,52.8,57.2,94.5,44.8,0.333,18,12,20,50,28,59,47.5,BOS,BOS @ CHA,W,48,130,43,87,49.4,20,43,46.5,24,25,96.0,14,33,47,34,12,1,4,21,12,136.8,125.5,11.3,79.1,2.83,23.6,38.6,70.6,55.8,12.6,60.9,66.3,94.5,55.2,0.287,8,19,4,42,23,44,52.3
HOU,HOU @ LAL,01/16/2023,L,48,132,49,100,49.0,11,30,36.7,23,31,74.2,17,31,48,28,8,0,7,25,-8,133.3,141.4,-8.1,57.1,3.5,18.7,41.8,75.0,56.6,8.1,54.5,58.1,99.0,44.9,0.31,4,21,7,72,38,70,54.3,LAL,LAL vs. HOU,W,48,140,49,91,53.8,12,33,36.4,30,35,85.7,9,30,39,23,2,4,5,19,8,141.4,133.3,8.1,46.9,11.5,17.3,25.0,58.2,43.4,2.0,60.4,65.8,99.0,55.1,0.385,12,15,27,60,37,58,63.8
WAS,WAS vs. GSW,01/16/2023,L,48,118,42,86,48.8,14,35,40.0,20,23,87.0,6,30,36,31,14,7,2,21,-9,114.6,123.3,-8.7,73.8,2.21,21.7,20.5,78.3,50.0,13.6,57.0,61.4,103.0,47.6,0.267,11,9,10,46,28,51,54.9,GSW,GSW @ WAS,W,48,127,45,91,49.5,18,44,40.9,19,21,90.5,9,34,43,28,12,8,1,23,9,123.3,114.6,8.7,62.2,2.33,19.9,21.7,79.5,50.0,11.7,59.3,63.3,103.0,52.4,0.231,21,8,20,38,27,47,57.4
BOS,BOS @ CHA,01/16/2023,W,48,130,43,87,49.4,20,43,46.5,24,25,96.0,14,33,47,34,12,1,4,21,12,136.8,125.5,11.3,79.1,2.83,23.6,38.6,70.6,55.8,12.6,60.9,66.3,94.5,55.2,0.287,8,19,4,42,23,44,52.3,CHA,CHA vs. BOS,L,48,118,41,90,45.6,13,31,41.9,23,30,76.7,13,25,38,26,5,7,2,18,-12,125.5,136.8,-11.3,63.4,5.2,19.3,29.4,61.4,44.2,5.3,52.8,57.2,94.5,44.8,0.333,18,12,20,50,28,59,47.5
NOP,NOP @ CLE,01/16/2023,L,48,103,38,75,50.7,10,27,37.0,17,22,77.3,3,25,28,26,17,9,1,23,-10,106.2,117.7,-11.5,68.4,1.53,20.2,17.5,65.9,42.9,17.5,57.3,60.8,96.5,46.2,0.293,22,8,13,40,28,48,58.3,CLE,CLE vs. NOP,W,48,113,39,80,48.8,9,28,32.1,26,33,78.8,13,30,43,22,15,5,4,19,10,117.7,106.2,11.5,56.4,1.47,16.5,34.1,82.5,57.1,15.6,54.4,59.8,96.5,53.8,0.413,22,19,7,52,30,52,57.7
MIN,MIN vs. UTA,01/16/2023,L,48,125,46,101,45.5,18,41,43.9,15,18,83.3,16,25,41,28,6,9,6,20,-1,127.6,129.9,-2.3,60.9,4.67,19.2,35.1,59.5,45.5,6.1,54.5,57.4,97.5,48.2,0.178,20,22,21,56,28,60,46.7,UTA,UTA @ MIN,W,48,126,45,84,53.6,13,34,38.2,23,28,82.1,14,36,50,25,18,0,5,12,1,129.9,127.6,2.3,55.6,1.39,18.0,40.5,64.9,54.5,18.6,61.3,65.4,97.5,51.8,0.333,6,18,10,60,32,50,64.0
LAL,LAL vs. PHI,01/15/2023,L,48,112,48,87,55.2,6,20,30.0,10,13,76.9,4,34,38,28,11,4,6,19,-1,116.7,116.5,0.2,58.3,2.55,21.5,14.6,79.5,48.2,11.5,58.6,60.4,96.5,49.8,0.149,13,8,18,70,42,67,62.7,PHI,PHI @ LAL,W,48,113,43,85,50.6,12,34,35.3,15,19,78.9,5,33,38,29,10,3,7,16,1,116.5,116.7,-0.2,67.4,2.9,21.5,20.5,85.4,51.8,10.3,57.6,60.5,96.5,50.2,0.224,8,6,5,52,31,51,60.8
DET,DET vs. NYK,01/15/2023,L,48,104,37,83,44.6,18,44,40.9,12,15,80.0,9,29,38,23,12,4,4,22,-13,111.8,127.2,-15.3,62.2,1.92,18.1,22.9,62.7,43.4,12.9,55.4,58.0,92.5,43.4,0.181,10,18,5,32,19,39,48.7,NYK,NYK @ DET,W,48,117,40,88,45.5,12,30,40.0,25,31,80.6,18,34,52,17,8,3,6,12,13,127.2,111.8,15.3,42.5,2.13,13.3,37.3,77.1,56.6,8.7,52.3,57.6,92.5,56.6,0.352,13,20,6,44,28,58,48.3
