TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,FTARATE,PTSOFF TO,2NDPTS,FBPS,PITP,2PM,2PA,2P%,TEAM OPP,MATCH UP OPP,W/L OPP,MIN OPP,PTS OPP,FGM OPP,FGA OPP,FG% OPP,3PM OPP,3PA OPP,3P% OPP,FTM OPP,FTA OPP,FT% OPP,OREB OPP,DREB OPP,REB OPP,AST OPP,TOV OPP,STL OPP,BLK OPP,PF OPP,+/- OPP,OFFRTG OPP,DEFRTG OPP,NETRTG OPP,AST% OPP,AST/TO OPP,ASTRATIO OPP,OREB% OPP,DREB% OPP,REB% OPP,TOV% OPP,EFG% OPP,TS% OPP,PACE OPP,PIE OPP,FTARATE OPP,PTSOFF TO OPP,2NDPTS OPP,FBPS OPP,PITP OPP,2PM OPP,2PA OPP,2P% OPP
CHA,CHA @ LAL,12/23/2022,W,48,134,52,94,55.3,16,41,39.0,14,18,77.8,11,30,41,30,16,11,5,21,4,125.2,121.5,3.7,57.7,1.88,20.0,29.5,69.6,50.0,15.0,63.8,65.7,107.0,53.8,0.191,32,14,29,62,36,53,67.9,LAL,LAL vs. CHA,L,48,130,48,92,52.2,19,44,43.2,15,22,68.2,12,30,42,27,17,5,1,19,-4,121.5,125.2,-3.7,56.3,1.59,18.2,30.4,70.5,50.0,15.9,62.5,63.9,107.0,46.2,0.239,11,18,10,50,29,48,60.4
MIA,MIA vs. IND,12/23/2022,L,48,108,41,95,43.2,13,33,39.4,13,14,92.9,13,25,38,23,10,7,3,13,-3,114.9,119.4,-4.5,56.1,2.3,16.9,35.2,73.3,52.5,10.6,50.0,53.4,93.5,48.8,0.147,21,7,14,52,28,62,45.2,IND,IND @ MIA,W,48,111,40,83,48.2,21,47,44.7,10,14,71.4,9,34,43,26,16,5,6,23,3,119.4,114.9,4.5,65.0,1.63,19.8,26.7,64.8,47.5,17.2,60.8,62.2,93.5,51.2,0.169,10,14,19,36,19,36,52.8
SAS,SAS @ ORL,12/23/2022,L,48,113,44,97,45.4,12,38,31.6,13,18,72.2,13,25,38,28,13,10,6,18,-20,109.7,127.9,-18.2,63.6,2.15,19.2,29.1,67.5,45.3,12.6,51.5,53.9,103.5,41.2,0.186,24,11,11,54,32,59,54.2,ORL,ORL vs. SAS,W,48,133,50,87,57.5,17,32,53.1,16,20,80.0,7,37,44,30,19,8,2,15,20,127.9,109.7,18.2,60.0,1.58,20.5,32.5,70.9,54.7,18.3,67.2,69.4,103.5,58.8,0.23,19,13,13,52,33,55,60.0
PHI,PHI vs. LAC,12/23/2022,W,48,119,47,88,53.4,12,29,41.4,13,14,92.9,6,33,39,31,9,7,3,20,5,126.6,121.3,5.3,66.0,3.44,23.0,24.4,81.0,53.0,9.6,60.2,63.2,94.0,53.7,0.159,14,14,16,58,35,59,59.3,LAC,LAC @ PHI,L,48,114,41,81,50.6,14,38,36.8,18,23,78.3,6,27,33,25,11,5,9,16,-5,121.3,126.6,-5.3,61.0,2.27,19.7,19.0,75.6,47.0,11.7,59.3,62.6,94.0,46.3,0.284,9,8,10,28,27,43,62.8
MIN,MIN @ BOS,12/23/2022,L,48,109,44,91,48.4,10,32,31.3,11,15,73.3,11,34,45,25,17,3,8,18,-12,107.9,118.6,-10.7,56.8,1.47,17.9,28.0,63.2,46.7,16.8,53.8,55.8,101.5,45.3,0.165,16,15,10,52,34,59,57.6,BOS,BOS vs. MIN,W,48,121,44,100,44.0,13,46,28.3,20,26,76.9,20,33,53,28,12,9,6,16,12,118.6,107.9,10.7,63.6,2.33,18.5,36.8,72.0,53.3,11.8,50.5,54.3,101.5,54.7,0.26,26,20,24,58,31,54,57.4
MIL,MIL @ BKN,12/23/2022,L,48,100,37,84,44.0,9,37,24.3,17,22,77.3,13,32,45,17,18,7,1,13,-18,104.2,121.6,-17.5,45.9,0.94,13.2,31.4,66.7,48.5,18.8,49.4,53.4,96.5,39.8,0.262,12,13,13,48,28,47,59.6,BKN,BKN vs. MIL,W,48,118,46,93,49.5,14,32,43.8,12,13,92.3,12,33,45,30,12,11,2,18,18,121.6,104.2,17.5,65.2,2.5,21.4,33.3,68.6,51.5,12.4,57.0,59.8,96.5,60.2,0.14,24,11,24,50,32,61,52.5
LAC,LAC @ PHI,12/23/2022,L,48,114,41,81,50.6,14,38,36.8,18,23,78.3,6,27,33,25,11,5,9,16,-5,121.3,126.6,-5.3,61.0,2.27,19.7,19.0,75.6,47.0,11.7,59.3,62.6,94.0,46.3,0.284,9,8,10,28,27,43,62.8,PHI,PHI vs. LAC,W,48,119,47,88,53.4,12,29,41.4,13,14,92.9,6,33,39,31,9,7,3,20,5,126.6,121.3,5.3,66.0,3.44,23.0,24.4,81.0,53.0,9.6,60.2,63.2,94.0,53.7,0.159,14,14,16,58,35,59,59.3
DEN,DEN vs. POR,12/23/2022,W,48,120,47,81,58.0,10,21,47.6,16,26,61.5,4,34,38,31,11,9,2,19,13,122.4,109.2,13.3,66.0,2.82,22.6,20.5,69.8,48.9,11.2,64.2,64.9,98.0,59.1,0.321,16,11,18,66,37,60,61.7,POR,POR @ DEN,L,48,107,39,87,44.8,9,35,25.7,20,26,76.9,13,30,43,24,14,5,3,21,-13,109.2,122.4,-13.3,61.5,1.71,17.4,30.2,79.5,51.1,14.3,50.0,54.3,98.0,40.9,0.299,12,11,13,52,30,52,57.7
PHX,PHX vs. MEM,12/23/2022,L,48,100,38,87,43.7,9,35,25.7,15,26,57.7,11,24,35,23,15,6,5,26,-25,100.0,126.3,-26.3,60.5,1.53,16.5,33.3,51.0,41.7,15.0,48.9,50.8,99.5,33.0,0.299,12,15,4,42,29,52,55.8,MEM,MEM @ PHX,W,48,125,45,91,49.5,7,23,30.4,28,38,73.7,19,34,53,30,12,11,5,22,25,126.3,100.0,26.3,66.7,2.5,19.6,49.0,66.7,58.3,12.1,53.3,58.0,99.5,67.0,0.418,22,22,14,72,38,68,55.9
DET,DET @ ATL,12/23/2022,L,48,105,37,90,41.1,9,33,27.3,22,29,75.9,9,34,43,17,14,7,3,19,-25,101.9,126.2,-24.3,45.9,1.21,12.7,25.9,78.3,50.0,13.6,46.1,51.1,103.0,34.7,0.322,8,19,4,40,28,57,49.1,ATL,ATL vs. DET,W,48,130,49,92,53.3,12,34,35.3,20,24,83.3,8,40,48,30,8,10,8,20,25,126.2,101.9,24.3,61.2,3.75,21.0,21.7,74.1,50.0,7.8,59.8,63.4,103.0,65.3,0.261,21,9,21,66,37,58,63.8
LAL,LAL vs. CHA,12/23/2022,L,48,130,48,92,52.2,19,44,43.2,15,22,68.2,12,30,42,27,17,5,1,19,-4,121.5,125.2,-3.7,56.3,1.59,18.2,30.4,70.5,50.0,15.9,62.5,63.9,107.0,46.2,0.239,11,18,10,50,29,48,60.4,CHA,CHA @ LAL,W,48,134,52,94,55.3,16,41,39.0,14,18,77.8,11,30,41,30,16,11,5,21,4,125.2,121.5,3.7,57.7,1.88,20.0,29.5,69.6,50.0,15.0,63.8,65.7,107.0,53.8,0.191,32,14,29,62,36,53,67.9
MEM,MEM @ PHX,12/23/2022,W,48,125,45,91,49.5,7,23,30.4,28,38,73.7,19,34,53,30,12,11,5,22,25,126.3,100.0,26.3,66.7,2.5,19.6,49.0,66.7,58.3,12.1,53.3,58.0,99.5,67.0,0.418,22,22,14,72,38,68,55.9,PHX,PHX vs. MEM,L,48,100,38,87,43.7,9,35,25.7,15,26,57.7,11,24,35,23,15,6,5,26,-25,100.0,126.3,-26.3,60.5,1.53,16.5,33.3,51.0,41.7,15.0,48.9,50.8,99.5,33.0,0.299,12,15,4,42,29,52,55.8
SAC,SAC vs. WAS,12/23/2022,L,48,111,37,84,44.0,10,32,31.3,27,35,77.1,13,34,47,19,13,5,2,20,-14,109.9,123.8,-13.9,51.4,1.46,14.3,26.9,81.4,51.6,12.9,50.0,55.8,101.0,41.5,0.417,11,12,18,50,27,52,51.9,WAS,WAS @ SAC,W,48,125,49,88,55.7,10,32,31.3,17,24,70.8,5,35,40,30,10,9,4,23,14,123.8,109.9,13.9,61.2,3.0,21.6,18.6,73.1,48.4,9.9,61.4,63.4,101.0,58.5,0.273,13,6,24,70,39,56,69.6
CHI,CHI @ NYK,12/23/2022,W,48,118,45,93,48.4,14,31,45.2,14,18,77.8,11,30,41,24,4,6,4,22,1,128.3,125.8,2.5,53.3,6.0,18.6,25.5,66.0,45.5,4.3,55.9,58.5,92.5,50.8,0.194,14,11,9,40,31,62,50.0,NYK,NYK vs. CHI,L,48,117,43,86,50.0,16,35,45.7,15,26,57.7,12,35,47,23,10,2,4,17,-1,125.8,128.3,-2.5,53.5,2.3,17.3,34.0,74.5,54.5,10.8,59.3,60.0,92.5,49.2,0.302,6,20,6,48,27,51,52.9
NYK,NYK vs. CHI,12/23/2022,L,48,117,43,86,50.0,16,35,45.7,15,26,57.7,12,35,47,23,10,2,4,17,-1,125.8,128.3,-2.5,53.5,2.3,17.3,34.0,74.5,54.5,10.8,59.3,60.0,92.5,49.2,0.302,6,20,6,48,27,51,52.9,CHI,CHI @ NYK,W,48,118,45,93,48.4,14,31,45.2,14,18,77.8,11,30,41,24,4,6,4,22,1,128.3,125.8,2.5,53.3,6.0,18.6,25.5,66.0,45.5,4.3,55.9,58.5,92.5,50.8,0.194,14,11,9,40,31,62,50.0
BOS,BOS vs. MIN,12/23/2022,W,48,121,44,100,44.0,13,46,28.3,20,26,76.9,20,33,53,28,12,9,6,16,12,118.6,107.9,10.7,63.6,2.33,18.5,36.8,72.0,53.3,11.8,50.5,54.3,101.5,54.7,0.26,26,20,24,58,31,54,57.4,MIN,MIN @ BOS,L,48,109,44,91,48.4,10,32,31.3,11,15,73.3,11,34,45,25,17,3,8,18,-12,107.9,118.6,-10.7,56.8,1.47,17.9,28.0,63.2,46.7,16.8,53.8,55.8,101.5,45.3,0.165,16,15,10,52,34,59,57.6
HOU,HOU vs. DAL,12/23/2022,L,48,106,37,81,45.7,8,26,30.8,24,28,85.7,12,33,45,26,15,9,3,21,-6,110.4,115.5,-5.0,70.3,1.73,19.3,28.9,76.6,53.3,15.6,50.6,56.8,96.5,50.9,0.346,16,10,8,46,29,55,52.7,DAL,DAL @ HOU,W,48,112,36,80,45.0,16,44,36.4,24,27,88.9,7,27,34,20,14,10,7,21,6,115.5,110.4,5.0,55.6,1.43,16.0,23.4,71.1,46.7,14.4,55.0,60.9,96.5,49.1,0.338,28,11,11,32,20,36,55.6
DAL,DAL @ HOU,12/23/2022,W,48,112,36,80,45.0,16,44,36.4,24,27,88.9,7,27,34,20,14,10,7,21,6,115.5,110.4,5.0,55.6,1.43,16.0,23.4,71.1,46.7,14.4,55.0,60.9,96.5,49.1,0.338,28,11,11,32,20,36,55.6,HOU,HOU vs. DAL,L,48,106,37,81,45.7,8,26,30.8,24,28,85.7,12,33,45,26,15,9,3,21,-6,110.4,115.5,-5.0,70.3,1.73,19.3,28.9,76.6,53.3,15.6,50.6,56.8,96.5,50.9,0.346,16,10,8,46,29,55,52.7
NOP,NOP @ OKC,12/23/2022,W,53,128,41,94,43.6,13,37,35.1,33,40,82.5,13,42,55,30,21,10,4,21,3,107.6,104.2,3.4,73.2,1.43,18.1,30.9,79.3,55.8,17.6,50.5,57.3,108.23,53.9,0.426,22,14,9,54,28,57,49.1,OKC,OKC vs. NOP,L,53,125,47,102,46.1,13,35,37.1,18,25,72.0,10,37,47,27,18,9,5,26,-3,104.2,107.6,-3.4,57.4,1.5,17.1,20.7,69.1,44.2,15.0,52.5,55.3,108.23,46.1,0.245,17,7,20,66,34,67,50.7
ATL,ATL vs. DET,12/23/2022,W,48,130,49,92,53.3,12,34,35.3,20,24,83.3,8,40,48,30,8,10,8,20,25,126.2,101.9,24.3,61.2,3.75,21.0,21.7,74.1,50.0,7.8,59.8,63.4,103.0,65.3,0.261,21,9,21,66,37,58,63.8,DET,DET @ ATL,L,48,105,37,90,41.1,9,33,27.3,22,29,75.9,9,34,43,17,14,7,3,19,-25,101.9,126.2,-24.3,45.9,1.21,12.7,25.9,78.3,50.0,13.6,46.1,51.1,103.0,34.7,0.322,8,19,4,40,28,57,49.1
IND,IND @ MIA,12/23/2022,W,48,111,40,83,48.2,21,47,44.7,10,14,71.4,9,34,43,26,16,5,6,23,3,119.4,114.9,4.5,65.0,1.63,19.8,26.7,64.8,47.5,17.2,60.8,62.2,93.5,51.2,0.169,10,14,19,36,19,36,52.8,MIA,MIA vs. IND,L,48,108,41,95,43.2,13,33,39.4,13,14,92.9,13,25,38,23,10,7,3,13,-3,114.9,119.4,-4.5,56.1,2.3,16.9,35.2,73.3,52.5,10.6,50.0,53.4,93.5,48.8,0.147,21,7,14,52,28,62,45.2
CLE,CLE vs. TOR,12/23/2022,L,48,107,39,76,51.3,11,33,33.3,18,30,60.0,6,29,35,27,15,9,4,17,-11,110.3,121.6,-11.3,69.2,1.8,20.5,19.0,70.5,45.3,15.5,58.6,60.0,97.0,46.7,0.395,19,9,12,46,28,43,65.1,TOR,TOR @ CLE,W,48,118,42,84,50.0,19,37,51.4,15,18,83.3,11,34,45,25,19,10,2,20,11,121.6,110.3,11.3,59.5,1.32,18.5,29.5,81.0,54.7,19.6,61.3,64.2,97.0,53.3,0.214,18,18,27,44,23,47,48.9
WAS,WAS @ SAC,12/23/2022,W,48,125,49,88,55.7,10,32,31.3,17,24,70.8,5,35,40,30,10,9,4,23,14,123.8,109.9,13.9,61.2,3.0,21.6,18.6,73.1,48.4,9.9,61.4,63.4,101.0,58.5,0.273,13,6,24,70,39,56,69.6,SAC,SAC vs. WAS,L,48,111,37,84,44.0,10,32,31.3,27,35,77.1,13,34,47,19,13,5,2,20,-14,109.9,123.8,-13.9,51.4,1.46,14.3,26.9,81.4,51.6,12.9,50.0,55.8,101.0,41.5,0.417,11,12,18,50,27,52,51.9
TOR,TOR @ CLE,12/23/2022,W,48,118,42,84,50.0,19,37,51.4,15,18,83.3,11,34,45,25,19,10,2,20,11,121.6,110.3,11.3,59.5,1.32,18.5,29.5,81.0,54.7,19.6,61.3,64.2,97.0,53.3,0.214,18,18,27,44,23,47,48.9,CLE,CLE vs. TOR,L,48,107,39,76,51.3,11,33,33.3,18,30,60.0,6,29,35,27,15,9,4,17,-11,110.3,121.6,-11.3,69.2,1.8,20.5,19.0,70.5,45.3,15.5,58.6,60.0,97.0,46.7,0.395,19,9,12,46,28,43,65.1
UTA,UTA vs. WAS,12/22/2022,W,48,120,42,86,48.8,16,35,45.7,20,21,95.2,8,32,40,16,11,5,3,16,8,121.2,113.1,8.1,38.1,1.45,12.9,20.0,92.1,53.0,11.1,58.1,63.0,99.0,49.8,0.244,17,13,17,46,26,51,51.0,WAS,WAS @ UTA,L,48,112,46,82,56.1,7,21,33.3,13,17,76.5,3,34,37,20,11,5,2,15,-8,113.1,121.2,-8.1,43.5,1.82,16.4,7.9,80.0,47.0,11.1,60.4,62.6,99.0,50.2,0.207,15,6,25,66,39,61,63.9
WAS,WAS @ UTA,12/22/2022,L,48,112,46,82,56.1,7,21,33.3,13,17,76.5,3,34,37,20,11,5,2,15,-8,113.1,121.2,-8.1,43.5,1.82,16.4,7.9,80.0,47.0,11.1,60.4,62.6,99.0,50.2,0.207,15,6,25,66,39,61,63.9,UTA,UTA vs. WAS,W,48,120,42,86,48.8,16,35,45.7,20,21,95.2,8,32,40,16,11,5,3,16,8,121.2,113.1,8.1,38.1,1.45,12.9,20.0,92.1,53.0,11.1,58.1,63.0,99.0,49.8,0.244,17,13,17,46,26,51,51.0
SAS,SAS @ NOP,12/22/2022,L,48,117,43,90,47.8,9,28,32.1,22,27,81.5,14,30,44,23,17,8,2,24,-9,113.6,123.5,-9.9,53.5,1.35,16.1,34.7,62.5,48.5,16.5,52.8,57.4,102.5,45.4,0.3,20,11,17,54,34,62,54.8,NOP,NOP vs. SAS,W,48,126,44,91,48.4,13,34,38.2,25,27,92.6,16,30,46,25,17,10,6,24,9,123.5,113.6,9.9,56.8,1.47,17.2,37.5,65.3,51.5,16.7,55.5,61.2,102.5,54.6,0.297,22,18,14,60,31,57,54.4
NOP,NOP vs. SAS,12/22/2022,W,48,126,44,91,48.4,13,34,38.2,25,27,92.6,16,30,46,25,17,10,6,24,9,123.5,113.6,9.9,56.8,1.47,17.2,37.5,65.3,51.5,16.7,55.5,61.2,102.5,54.6,0.297,22,18,14,60,31,57,54.4,SAS,SAS @ NOP,L,48,117,43,90,47.8,9,28,32.1,22,27,81.5,14,30,44,23,17,8,2,24,-9,113.6,123.5,-9.9,53.5,1.35,16.1,34.7,62.5,48.5,16.5,52.8,57.4,102.5,45.4,0.3,20,11,17,54,34,62,54.8
IND,IND @ BOS,12/21/2022,W,48,117,46,98,46.9,18,39,46.2,7,9,77.8,12,35,47,27,14,10,3,22,5,113.6,108.7,4.9,58.7,1.93,18.9,24.1,54.7,40.7,13.6,56.1,57.4,103.0,49.4,0.092,19,16,17,52,28,59,47.5,BOS,BOS vs. IND,L,48,112,39,101,38.6,13,41,31.7,21,25,84.0,25,37,62,26,17,11,5,9,-5,108.7,113.6,-4.9,66.7,1.53,16.5,45.3,75.9,59.3,16.5,45.0,50.0,103.0,50.6,0.248,16,32,21,50,26,60,43.3
CHA,CHA @ LAC,12/21/2022,L,48,105,37,92,40.2,9,31,29.0,22,29,75.9,11,29,40,25,15,15,2,18,-21,95.5,112.5,-17.0,67.6,1.67,17.1,19.6,75.0,42.7,13.6,45.1,50.1,111.0,41.8,0.315,33,11,14,54,28,61,45.9,LAC,LAC vs. CHA,W,48,126,41,81,50.6,23,49,46.9,21,23,91.3,5,43,48,29,27,6,7,22,21,112.5,95.5,17.0,70.7,1.07,19.2,25.0,80.4,57.3,24.1,64.8,69.1,111.0,58.2,0.284,24,5,20,32,18,32,56.2
CLE,CLE vs. MIL,12/21/2022,W,48,114,41,85,48.2,10,32,31.3,22,28,78.6,9,28,37,22,10,8,3,21,8,116.3,108.2,8.2,53.7,2.2,16.7,26.1,66.7,46.8,10.2,54.1,58.6,98.0,54.8,0.329,22,18,9,54,31,53,58.5,MIL,MIL @ CLE,L,48,106,39,83,47.0,13,30,43.3,15,22,68.2,13,33,46,20,21,7,5,23,-8,108.2,116.3,-8.2,51.3,0.95,14.9,33.3,73.9,53.2,21.4,54.8,57.2,98.0,45.2,0.265,12,14,12,46,26,53,49.1
BOS,BOS vs. IND,12/21/2022,L,48,112,39,101,38.6,13,41,31.7,21,25,84.0,25,37,62,26,17,11,5,9,-5,108.7,113.6,-4.9,66.7,1.53,16.5,45.3,75.9,59.3,16.5,45.0,50.0,103.0,50.6,0.248,16,32,21,50,26,60,43.3,IND,IND @ BOS,W,48,117,46,98,46.9,18,39,46.2,7,9,77.8,12,35,47,27,14,10,3,22,5,113.6,108.7,4.9,58.7,1.93,18.9,24.1,54.7,40.7,13.6,56.1,57.4,103.0,49.4,0.092,19,16,17,52,28,59,47.5
MIN,MIN vs. DAL,12/21/2022,L,48,99,42,85,49.4,8,30,26.7,7,10,70.0,8,31,39,23,13,7,4,24,-5,108.8,113.0,-4.3,54.8,1.77,18.4,23.9,76.2,48.9,14.3,54.1,55.4,91.5,46.9,0.118,13,10,9,52,34,55,61.8,DAL,DAL @ MIN,W,48,104,34,75,45.3,13,39,33.3,23,27,85.2,7,32,39,17,13,6,3,12,5,113.0,108.8,4.3,50.0,1.31,14.3,23.8,76.1,51.1,14.1,54.0,59.9,91.5,53.1,0.36,21,4,9,28,21,36,58.3
POR,POR @ OKC,12/21/2022,L,48,98,39,79,49.4,14,36,38.9,6,9,66.7,9,27,36,29,20,9,5,22,-3,104.3,107.4,-3.2,74.4,1.45,21.8,26.2,65.1,45.9,21.3,58.2,59.1,94.0,50.3,0.114,20,14,9,48,25,43,58.1,OKC,OKC vs. POR,W,48,101,36,77,46.8,8,24,33.3,21,25,84.0,9,28,37,19,18,9,3,16,3,107.4,104.3,3.2,52.8,1.06,15.0,34.9,73.8,54.1,19.1,51.9,57.4,94.0,49.7,0.325,14,16,6,52,28,53,52.8
GSW,GSW @ BKN,12/21/2022,L,48,113,41,83,49.4,12,33,36.4,19,25,76.0,9,27,36,32,21,6,1,14,-30,108.7,137.5,-28.8,78.0,1.52,21.6,26.7,87.1,51.3,20.2,56.6,60.1,104.0,38.8,0.301,18,11,10,54,29,50,58.0,BKN,BKN vs. GSW,W,48,143,54,84,64.3,21,33,63.6,14,16,87.5,3,29,32,42,15,10,4,23,30,137.5,108.7,28.8,77.8,2.8,28.0,12.9,73.3,48.7,14.4,76.8,78.5,104.0,61.2,0.19,36,4,25,44,33,51,64.7
TOR,TOR @ NYK,12/21/2022,W,48,113,42,94,44.7,9,34,26.5,20,22,90.9,16,22,38,17,5,7,4,16,7,125.6,119.1,6.5,40.5,3.4,13.3,39.6,66.7,51.1,5.6,49.5,54.5,89.5,50.8,0.234,21,10,17,48,33,60,55.0,NYK,NYK vs. TOR,L,48,106,42,76,55.3,11,26,42.3,11,18,61.1,9,29,38,25,17,2,3,19,-7,119.1,125.6,-6.5,59.5,1.47,19.7,33.3,60.4,48.9,19.1,62.5,63.2,89.5,49.2,0.237,9,10,12,56,31,50,62.0
LAC,LAC vs. CHA,12/21/2022,W,48,126,41,81,50.6,23,49,46.9,21,23,91.3,5,43,48,29,27,6,7,22,21,112.5,95.5,17.0,70.7,1.07,19.2,25.0,80.4,57.3,24.1,64.8,69.1,111.0,58.2,0.284,24,5,20,32,18,32,56.2,CHA,CHA @ LAC,L,48,105,37,92,40.2,9,31,29.0,22,29,75.9,11,29,40,25,15,15,2,18,-21,95.5,112.5,-17.0,67.6,1.67,17.1,19.6,75.0,42.7,13.6,45.1,50.1,111.0,41.8,0.315,33,11,14,54,28,61,45.9
OKC,OKC vs. POR,12/21/2022,W,48,101,36,77,46.8,8,24,33.3,21,25,84.0,9,28,37,19,18,9,3,16,3,107.4,104.3,3.2,52.8,1.06,15.0,34.9,73.8,54.1,19.1,51.9,57.4,94.0,49.7,0.325,14,16,6,52,28,53,52.8,POR,POR @ OKC,L,48,98,39,79,49.4,14,36,38.9,6,9,66.7,9,27,36,29,20,9,5,22,-3,104.3,107.4,-3.2,74.4,1.45,21.8,26.2,65.1,45.9,21.3,58.2,59.1,94.0,50.3,0.114,20,14,9,48,25,43,58.1
DAL,DAL @ MIN,12/21/2022,W,48,104,34,75,45.3,13,39,33.3,23,27,85.2,7,32,39,17,13,6,3,12,5,113.0,108.8,4.3,50.0,1.31,14.3,23.8,76.1,51.1,14.1,54.0,59.9,91.5,53.1,0.36,21,4,9,28,21,36,58.3,MIN,MIN vs. DAL,L,48,99,42,85,49.4,8,30,26.7,7,10,70.0,8,31,39,23,13,7,4,24,-5,108.8,113.0,-4.3,54.8,1.77,18.4,23.9,76.2,48.9,14.3,54.1,55.4,91.5,46.9,0.118,13,10,9,52,34,55,61.8
ORL,ORL @ HOU,12/21/2022,W,48,116,41,91,45.1,11,37,29.7,23,33,69.7,11,34,45,19,11,11,6,18,6,114.9,107.8,7.0,46.3,1.73,14.1,25.9,75.5,48.6,10.9,51.1,55.0,101.5,52.1,0.363,21,19,15,50,30,54,55.6,HOU,HOU vs. ORL,L,48,110,41,88,46.6,17,43,39.5,11,17,64.7,9,40,49,22,17,6,4,23,-6,107.8,114.9,-7.0,53.7,1.29,16.2,24.5,74.1,51.4,16.7,56.3,57.6,101.5,47.9,0.193,17,14,12,40,24,45,53.3
PHI,PHI vs. DET,12/21/2022,W,48,113,41,93,44.1,11,37,29.7,20,22,90.9,13,36,49,27,12,8,7,23,20,109.7,90.3,19.4,65.9,2.25,18.8,26.9,69.8,48.6,11.7,50.0,55.0,103.0,63.3,0.237,36,11,20,56,30,56,53.6,DET,DET @ PHI,L,48,93,31,79,39.2,6,23,26.1,25,34,73.5,11,35,46,15,22,6,1,15,-20,90.3,109.7,-19.4,48.4,0.68,11.2,30.2,73.1,51.4,21.4,43.0,49.5,103.0,36.7,0.43,12,16,9,34,25,56,44.6
BKN,BKN vs. GSW,12/21/2022,W,48,143,54,84,64.3,21,33,63.6,14,16,87.5,3,29,32,42,15,10,4,23,30,137.5,108.7,28.8,77.8,2.8,28.0,12.9,73.3,48.7,14.4,76.8,78.5,104.0,61.2,0.19,36,4,25,44,33,51,64.7,GSW,GSW @ BKN,L,48,113,41,83,49.4,12,33,36.4,19,25,76.0,9,27,36,32,21,6,1,14,-30,108.7,137.5,-28.8,78.0,1.52,21.6,26.7,87.1,51.3,20.2,56.6,60.1,104.0,38.8,0.301,18,11,10,54,29,50,58.0
ATL,ATL vs. CHI,12/21/2022,L,48,108,39,91,42.9,14,37,37.8,16,16,100.0,9,38,47,22,15,6,7,15,-2,106.9,108.9,-2.0,56.4,1.47,16.2,25.0,82.6,52.0,14.9,50.5,55.1,101.0,47.6,0.176,5,12,9,34,25,54,46.3,CHI,CHI @ ATL,W,48,110,43,86,50.0,7,24,29.2,17,22,77.3,8,39,47,20,11,9,4,15,2,108.9,106.9,2.0,46.5,1.82,15.5,17.4,75.0,48.0,10.9,54.1,57.5,101.0,52.4,0.256,14,14,12,44,36,62,58.1
SAC,SAC vs. LAL,12/21/2022,W,48,134,48,95,50.5,17,47,36.2,21,28,75.0,10,36,46,29,12,6,2,23,14,125.2,114.3,10.9,60.4,2.42,19.3,29.4,86.7,56.3,11.2,59.5,62.4,106.0,54.0,0.295,12,18,11,58,31,48,64.6,LAL,LAL @ SAC,L,48,120,42,84,50.0,11,24,45.8,25,30,83.3,5,34,39,25,15,6,5,24,-14,114.3,125.2,-10.9,59.5,1.67,18.4,13.3,70.6,43.8,14.3,56.5,61.7,106.0,46.0,0.357,16,7,15,50,31,60,51.7
CHI,CHI @ ATL,12/21/2022,W,48,110,43,86,50.0,7,24,29.2,17,22,77.3,8,39,47,20,11,9,4,15,2,108.9,106.9,2.0,46.5,1.82,15.5,17.4,75.0,48.0,10.9,54.1,57.5,101.0,52.4,0.256,14,14,12,44,36,62,58.1,ATL,ATL vs. CHI,L,48,108,39,91,42.9,14,37,37.8,16,16,100.0,9,38,47,22,15,6,7,15,-2,106.9,108.9,-2.0,56.4,1.47,16.2,25.0,82.6,52.0,14.9,50.5,55.1,101.0,47.6,0.176,5,12,9,34,25,54,46.3
NYK,NYK vs. TOR,12/21/2022,L,48,106,42,76,55.3,11,26,42.3,11,18,61.1,9,29,38,25,17,2,3,19,-7,119.1,125.6,-6.5,59.5,1.47,19.7,33.3,60.4,48.9,19.1,62.5,63.2,89.5,49.2,0.237,9,10,12,56,31,50,62.0,TOR,TOR @ NYK,W,48,113,42,94,44.7,9,34,26.5,20,22,90.9,16,22,38,17,5,7,4,16,7,125.6,119.1,6.5,40.5,3.4,13.3,39.6,66.7,51.1,5.6,49.5,54.5,89.5,50.8,0.234,21,10,17,48,33,60,55.0
LAL,LAL @ SAC,12/21/2022,L,48,120,42,84,50.0,11,24,45.8,25,30,83.3,5,34,39,25,15,6,5,24,-14,114.3,125.2,-10.9,59.5,1.67,18.4,13.3,70.6,43.8,14.3,56.5,61.7,106.0,46.0,0.357,16,7,15,50,31,60,51.7,SAC,SAC vs. LAL,W,48,134,48,95,50.5,17,47,36.2,21,28,75.0,10,36,46,29,12,6,2,23,14,125.2,114.3,10.9,60.4,2.42,19.3,29.4,86.7,56.3,11.2,59.5,62.4,106.0,54.0,0.295,12,18,11,58,31,48,64.6
